Policy Number,Inception Date,Months since Inception,Gender,Age,Vehicle,Postcode,Premium Charged,Distance,Journeys,Overall Risk %,High Risk Event,High Risk Event%,Medium Risk Event,Medium Risk Event%,Speeding Events,SpeedingEventsPerMile,DriverScore
XQ22667289,9/23/2013,5,M,17,Audi,S36 8WZ,1514.98,179,24,4.17%,0,,1,4.17%,38,0.21,91.83
XQ22667290,9/23/2013,5,M,18,BMW,GL55 6RT,1553.15,783,176,4.55%,1,0.57%,7,3.98%,130,0.17,94.40
XQ22667291,9/23/2013,5,M,20,BMW,TW15 1LG,1872.62,"1,085",171,44.44%,49,28.65%,27,15.79%,"1,005",0.93,66.54
XQ22667294,9/26/2013,5,M,20,Renault,M23 9HU,1731.47,"1,967",365,0.27%,0,,1,0.27%,128,0.07,98.21
XQ22667296,9/29/2013,5,F,18,Renault,RM7 8BX,1523.57,507,106,,0,,0,,37,0.07,98.72
XQ22667297,9/28/2013,5,M,17,Audi,CH48 4DL,2046.48,"1,674",250,4.00%,1,0.40%,9,3.60%,277,0.17,92.92
XQ22667298,10/1/2013,5,F,20,Vauxhall,MK43 8SZ,1546.82,561,47,8.51%,0,,4,8.51%,114,0.20,90.93
XQ22667299,9/28/2013,5,F,17,Renault,LS6 4DH,3026.29,"1,348",437,,0,,0,,217,0.16,97.09
XQ22667301,9/30/2013,5,M,17,VW,BD15 9LN,2057.46,"1,607",378,3.17%,2,0.53%,10,2.65%,347,0.22,95.08
XQ22667302,9/30/2013,5,M,21,Land Rover,CW2 5BS,1870.83,"2,315",329,8.81%,5,1.52%,24,7.29%,546,0.24,88.58
XQ22667304,10/3/2013,5,M,17,Vauxhall,BS30 6EB,1766.49,"4,704","1,050",7.62%,19,1.81%,61,5.81%,"1,603",0.34,90.19
XQ22667305,10/2/2013,5,F,17,Ford,BN11 5JA,1236.91,969,154,3.25%,0,,5,3.25%,149,0.15,93.84
XQ22667306,10/3/2013,5,F,20,Vauxhall,NG2 5HU,1520.17,"1,108",187,6.95%,1,0.53%,12,6.42%,270,0.24,91.02
XQ22667307,10/4/2013,5,M,17,Renault,PR7 4AQ,2061.52,652,108,0.93%,0,,1,0.93%,112,0.17,95.58
XQ22667308,10/4/2013,5,F,17,BMW,MK45 2FG,1545.72,"1,471",123,8.94%,1,0.81%,10,8.13%,497,0.34,86.30
XQ22667310,10/11/2013,5,F,17,VW,IG7 5AX,2148.07,990,282,1.77%,0,,5,1.77%,132,0.13,97.66
XQ22667311,10/8/2013,5,M,17,Mercedes,SW16 3DL,3280.00,"1,092",299,0.33%,0,,1,0.33%,47,0.04,99.07
XQ22667312,10/10/2013,5,M,21,Vauxhall,IP27 0YP,1992.05,"2,774",151,4.64%,0,,7,4.64%,421,0.15,89.36
XQ22667313,10/9/2013,5,M,17,Vauxhall,MK7 7RL,1698.95,"2,448",383,7.83%,5,1.31%,25,6.53%,851,0.35,89.56
XQ22667314,10/9/2013,5,F,17,Audi,WA13 9UB,1891.40,"1,207",172,,0,,0,,37,0.03,99.09
XQ22667315,10/9/2013,5,M,17,Ford,B92 9QD,1828.25,"1,549",269,3.72%,3,1.12%,7,2.60%,363,0.23,93.59
XQ22667316,10/12/2013,5,M,17,Smart,RG18 9UP,1374.59,"1,352",165,0.61%,0,,1,0.61%,99,0.07,97.08
XQ22667317,10/13/2013,4,M,19,Vauxhall,OX12 8QR,996.71,"1,687",131,10.69%,0,,14,10.69%,367,0.22,89.54
XQ22667318,10/11/2013,5,M,19,BMW,DA8 2QD,1637.71,"1,259",383,3.39%,4,1.04%,9,2.35%,313,0.25,94.98
XQ22667320,10/12/2013,5,M,22,Renault,N9 0TH,2164.69,"1,754",261,1.53%,0,,4,1.53%,310,0.18,95.83
XQ22667321,10/11/2013,5,F,17,Ford,CV36 5AF,1326.29,"2,168",306,,0,,0,,17,0.01,99.75
XQ22667322,10/12/2013,5,F,17,Ford,NE3 5RB,1365.53,149,27,,0,,0,,4,0.03,99.24
XQ22667324,10/28/2013,4,M,20,Ford,PE7 1SN,893.58,"1,398",110,,0,,0,,13,0.01,99.65
XQ22667325,10/14/2013,4,M,20,BMW,NG22 0BS,1797.80,467,56,25.00%,6,10.71%,8,14.29%,191,0.41,81.88
XQ22667326,10/14/2013,4,M,17,Ford,SK14 5RR,2150.47,375,94,,0,,0,,19,0.05,99.15
XQ22667327,10/15/2013,4,M,17,Seat,HD4 6JN,1809.23,805,145,19.31%,9,6.21%,19,13.10%,309,0.38,86.46
XQ22667328,10/17/2013,4,F,17,Mercedes,CM17 0JW,1711.83,"1,314",117,0.85%,0,,1,0.85%,121,0.09,96.78
XQ22667329,10/21/2013,4,M,19,Ford,LE14 2SF,982.20,850,119,,0,,0,,12,0.01,99.67
XQ22667330,10/18/2013,4,M,17,Renault,CM4 9EF,1625.85,486,65,,0,,0,,16,0.03,98.73
XQ22667331,10/18/2013,4,F,18,Land Rover,LU2 8JR,1859.34,585,226,,0,,0,,156,0.27,95.57
XQ22667332,10/17/2013,4,M,17,Renault,PL30 5JU,1334.40,"2,497",440,5.45%,3,0.68%,21,4.77%,524,0.21,92.40
XQ22667333,10/18/2013,4,F,17,Vauxhall,NR4 7LA,1521.27,"1,559",204,9.31%,0,,19,9.31%,480,0.31,89.99
XQ22667334,10/19/2013,4,F,22,Smart,E8 4LB,1664.42,790,189,1.59%,1,0.53%,2,1.06%,75,0.09,97.39
XQ22667336,10/21/2013,4,F,20,Audi,CH49 2NA,1082.85,489,104,,0,,0,,72,0.15,96.42
XQ22667337,10/22/2013,4,M,18,Audi,SA62 6RF,1100.59,"2,078",314,1.91%,2,0.64%,4,1.27%,249,0.12,95.14
XQ22667338,10/26/2013,4,M,21,BMW,ST6 6QL,1394.00,"1,683",338,17.46%,19,5.62%,40,11.83%,834,0.50,83.77
XQ22667340,10/23/2013,4,F,17,Renault,RH19 3QE,1314.51,141,38,2.63%,0,,1,2.63%,14,0.10,98.16
XQ22667341,10/24/2013,4,F,17,Land Rover,HR4 7RE,1533.63,"1,169",245,2.45%,2,0.82%,4,1.63%,131,0.11,95.84
XQ22667342,10/27/2013,4,M,17,Ford,OL4 4ED,2098.79,639,91,,0,,0,,14,0.02,99.56
XQ22667343,10/28/2013,4,M,20,Renault,SK16 5DW,1297.99,760,246,,0,,0,,41,0.05,98.94
XQ22667344,10/24/2013,4,M,20,BMW,ME7 2UT,1493.45,583,71,26.76%,8,11.27%,11,15.49%,230,0.39,81.34
XQ22667345,10/24/2013,4,M,18,Vauxhall,YO21 3FE,1590.66,"2,248",216,4.17%,0,,9,4.17%,381,0.17,90.73
XQ22667346,10/25/2013,4,M,17,Renault,OX29 6TE,1634.46,"3,311",472,2.54%,2,0.42%,10,2.12%,493,0.15,94.83
XQ22667347,10/31/2013,4,M,21,BMW,GL19 4UB,1611.76,570,58,20.69%,1,1.72%,11,18.97%,211,0.37,81.23
XQ22667348,10/31/2013,4,F,20,Renault,RM10 7HS,1523.27,"2,264",311,6.11%,4,1.29%,15,4.82%,709,0.31,91.41
XQ22667349,10/26/2013,4,M,17,Audi,WA8 9WX,1721.41,547,108,0.93%,0,,1,0.93%,108,0.20,95.07
XQ22667350,10/26/2013,4,M,21,Land Rover,OX12 8QR,1133.42,"1,988",170,11.18%,3,1.76%,16,9.41%,461,0.23,87.99
XQ22667351,10/25/2013,4,M,17,Ford,HA2 0JQ,2444.02,349,124,,0,,0,,9,0.03,99.60
XQ22667352,10/27/2013,4,M,16,Vauxhall,KT4 8XA,1766.10,393,83,,0,,0,,24,0.06,98.86
XQ22667353,10/30/2013,4,M,17,Smart,CM3 2EZ,1480.25,476,75,2.67%,0,,2,2.67%,95,0.20,94.30
XQ22667354,11/1/2013,4,M,17,Vauxhall,S32 4TL,1716.48,803,169,,0,,0,,54,0.07,97.76
XQ22667355,10/31/2013,4,M,21,Land Rover,CV7 9LF,1691.58,"1,066",346,13.58%,17,4.91%,30,8.67%,550,0.52,88.92
XQ22667356,10/31/2013,4,F,17,VW,PE9 2JQ,1693.32,432,199,,0,,0,,35,0.08,98.88
XQ22667357,11/1/2013,4,F,17,Ford,CA11 8LT,1509.65,207,71,,0,,0,,2,0.01,99.90
XQ22667358,10/31/2013,4,F,20,Vauxhall,NN13 5GF,1442.37,666,110,4.55%,0,,5,4.55%,201,0.30,91.07
XQ22667359,11/1/2013,4,F,17,Renault,HG2 8JG,1458.74,412,131,,0,,0,,30,0.07,98.42
XQ22667360,11/1/2013,4,F,17,VW,LE17 5LG,1454.33,912,125,,0,,0,,116,0.13,95.98
XQ22667361,11/4/2013,4,M,20,Vauxhall,SN11 0UF,1577.12,562,94,2.13%,0,,2,2.13%,171,0.30,90.93
XQ22667362,11/9/2013,4,F,17,Renault,CF23 6PN,1688.79,417,139,0.72%,0,,1,0.72%,60,0.14,98.10
XQ22667363,11/6/2013,4,F,18,Smart,B76 1GL,1545.70,126,56,3.57%,1,1.79%,1,1.79%,34,0.27,97.63
XQ22667365,11/11/2013,4,F,22,Land Rover,M13 0AS,2259.79,217,75,,0,,0,,20,0.09,99.14
XQ22667366,11/9/2013,4,M,17,Vauxhall,BH20 6HT,1332.17,"1,426",195,3.59%,0,,7,3.59%,398,0.28,90.45
XQ22667367,11/9/2013,4,F,17,VW,LE2 4GA,1444.18,911,203,0.49%,0,,1,0.49%,93,0.10,97.53
XQ22667368,11/11/2013,4,M,17,BMW,L39 5DZ,2292.17,436,79,,0,,0,,65,0.15,97.26
XQ22667369,11/9/2013,4,F,17,BMW,SK17 0QS,1957.10,"1,322",200,1.50%,0,,3,1.50%,90,0.07,97.46
XQ22667370,11/12/2013,4,M,17,Vauxhall,CF72 9EG,2293.80,971,196,7.65%,2,1.02%,13,6.63%,294,0.30,90.78
XQ22667371,11/12/2013,4,M,17,Audi,DH6 1JG,1785.56,"6,344",694,2.88%,3,0.43%,17,2.45%,"1,129",0.18,93.01
XQ22667372,11/14/2013,3,F,17,Vauxhall,GL53 7HZ,1427.69,607,22,13.64%,1,4.55%,2,9.09%,83,0.14,90.45
XQ22667373,11/12/2013,4,M,17,Renault,EN7 6XE,2170.93,522,158,2.53%,0,,4,2.53%,130,0.25,95.05
XQ22667374,11/14/2013,3,M,17,VW,IG6 2GE,2621.26,"1,179",317,1.58%,1,0.32%,4,1.26%,267,0.23,95.34
XQ22667375,11/12/2013,4,F,17,VW,NW7 2LP,1658.46,599,169,0.59%,0,,1,0.59%,77,0.13,97.62
XQ22667376,11/13/2013,3,F,18,Ford,CF39 9YG,1537.31,955,156,3.85%,3,1.92%,3,1.92%,248,0.26,93.40
XQ22667377,11/13/2013,3,F,18,Renault,NE25 8JH,1690.56,151,60,6.67%,4,6.67%,0,,43,0.29,91.78
XQ22667378,11/14/2013,3,M,17,Audi,LE15 9DN,1235.44,"1,147",155,1.29%,0,,2,1.29%,210,0.18,93.40
XQ22667379,11/14/2013,3,M,17,BMW,DY6 9EA,1588.05,604,147,3.40%,0,,5,3.40%,156,0.26,94.79
XQ22667380,11/18/2013,3,F,17,Audi,NN12 8AR,1383.38,384,51,,0,,0,,61,0.16,96.00
XQ22667381,11/15/2013,3,M,21,BMW,DA9 9FD,1151.00,209,32,15.63%,1,3.13%,4,12.50%,115,0.55,85.27
XQ22667383,11/23/2013,3,M,17,Mercedes,WA3 4DL,1692.16,381,53,,0,,0,,15,0.04,99.11
XQ22667384,11/19/2013,3,F,20,BMW,WN1 3JY,2109.96,520,157,0.64%,0,,1,0.64%,27,0.05,98.85
XQ22667385,11/19/2013,3,F,17,Ford,ST5 5DA,1411.06,769,82,,0,,0,,67,0.09,95.14
XQ22667386,11/19/2013,3,M,21,Land Rover,CM6 2AZ,1504.99,906,177,9.60%,2,1.13%,15,8.47%,296,0.33,88.30
XQ22667387,11/21/2013,3,F,17,Audi,EN10 6LD,1751.97,302,98,,0,,0,,83,0.27,94.19
XQ22667388,11/20/2013,3,F,17,Vauxhall,MK18 1QA,1412.80,588,47,6.38%,1,2.13%,2,4.26%,102,0.17,90.71
XQ22667389,11/20/2013,3,M,17,Audi,BN6 8HG,1234.51,867,196,0.51%,1,0.51%,0,,127,0.15,96.34
XQ22667390,11/22/2013,3,M,20,Vauxhall,IP7 5EL,1493.48,878,128,7.03%,1,0.78%,8,6.25%,183,0.21,91.00
XQ22667391,11/20/2013,3,M,16,BMW,AB13 0ER,1228.88,91,17,5.88%,0,,1,5.88%,3,0.03,99.03
XQ22667392,11/21/2013,3,F,17,Renault,SS6 7AP,1735.81,401,107,,0,,0,,49,0.12,97.68
XQ22667393,11/23/2013,3,F,16,Renault,KT22 8TL,1407.77,45,11,,0,,0,,6,0.13,98.54
XQ22667394,11/21/2013,3,F,21,Land Rover,PA2 9PZ,1697.41,227,27,11.11%,1,3.70%,2,7.41%,49,0.22,87.03
XQ22667395,11/30/2013,3,M,17,BMW,TW10 7YB,1763.93,777,198,1.52%,0,,3,1.52%,112,0.14,97.45
XQ22667396,11/22/2013,3,F,17,Ford,RM13 9LB,1826.37,371,69,,0,,0,,18,0.05,99.26
XQ22667397,11/23/2013,3,F,17,Audi,DN4 7BT,1317.21,17,6,,0,,0,,6,0.35,95.20
XQ22667398,11/23/2013,3,M,18,Renault,HX6 3AZ,2574.91,165,48,2.08%,0,,1,2.08%,67,0.41,94.06
XQ22667399,11/22/2013,3,F,17,Audi,CH3 7RH,1458.37,776,99,,0,,0,,102,0.13,96.75
XQ22667400,12/4/2013,3,M,18,Vauxhall,MK18 5NU,1341.60,399,51,3.92%,0,,2,3.92%,112,0.28,90.19
XQ22667401,11/23/2013,3,M,17,Vauxhall,DD5 3TD,1534.78,409,101,0.99%,0,,1,0.99%,57,0.14,97.60
XQ22667402,11/23/2013,3,F,17,Mercedes,CB7 5NQ,1389.10,981,127,2.36%,0,,3,2.36%,166,0.17,94.97
XQ22667403,11/24/2013,3,M,17,Smart,DH6 1RQ,1306.95,180,36,,0,,0,,47,0.26,94.92
XQ22667404,11/25/2013,3,M,21,BMW,BD20 8DG,1692.21,"1,796",180,15.00%,4,2.22%,23,12.78%,532,0.30,83.77
XQ22667405,11/29/2013,3,M,19,VW,BS15 9AB,1596.70,817,140,1.43%,0,,2,1.43%,176,0.22,93.81
XQ22667406,11/25/2013,3,F,17,Ford,SK14 5HJ,2444.87,613,155,,0,,0,,49,0.08,99.14
XQ22667408,11/30/2013,3,M,17,VW,DY14 9XE,1304.47,239,54,11.11%,4,7.41%,2,3.70%,67,0.28,94.13
XQ22667409,11/26/2013,3,M,17,Audi,PR5 4NU,1746.07,875,77,,0,,0,,148,0.17,92.07
XQ22667411,11/28/2013,3,F,16,Audi,ST15 8ZR,1398.19,187,25,,0,,0,,24,0.13,96.35
XQ22667412,11/28/2013,3,F,21,Land Rover,BB8 9QP,1822.44,366,66,7.58%,0,,5,7.58%,132,0.36,86.90
XQ22667414,11/30/2013,3,M,17,Mercedes,CB23 1HB,1546.20,185,26,3.85%,0,,1,3.85%,36,0.20,92.17
XQ22667416,12/2/2013,3,F,17,Ford,AB39 2TF,1258.18,18,4,,0,,0,,0,0.00,100.00
XQ22667421,12/2/2013,3,F,17,Audi,NN2 8RS,1491.19,283,25,,0,,0,,24,0.08,95.62
XQ22667422,12/3/2013,3,F,17,Ford,TF9 2SP,1555.12,301,64,1.56%,0,,1,1.56%,52,0.17,94.86
XQ22667423,12/3/2013,3,F,17,Seat,DE21 2TQ,1302.00,164,36,,0,,0,,34,0.21,95.85
XQ22667424,12/3/2013,3,M,21,BMW,ML3 6EA,1781.39,561,75,28.00%,2,2.67%,19,25.33%,284,0.51,80.37
XQ22667425,12/4/2013,3,F,17,Vauxhall,GU24 0AD,1580.65,445,84,8.33%,0,,7,8.33%,156,0.35,89.95
XQ22667426,12/5/2013,3,M,17,Ford,WF2 6NY,2349.44,174,53,1.89%,0,,1,1.89%,44,0.25,95.73
XQ22667428,12/13/2013,2,F,17,Ford,NN12 7RT,1267.48,80,6,,0,,0,,14,0.18,93.20
XQ22667430,12/10/2013,3,M,17,Ford,BA2 5NA,1616.85,34,16,,0,,0,,2,0.06,99.21
XQ22667431,12/9/2013,3,F,17,Ford,KT4 8PT,1689.96,16,6,,0,,0,,0,0.00,100.00
XQ22667432,12/10/2013,3,M,17,Ford,SK13 1NF,2608.44,473,36,,0,,0,,6,0.01,99.18
XQ22667434,12/11/2013,3,F,17,Renault,ME9 8EH,1445.05,136,27,,0,,0,,11,0.08,98.34
XQ22667435,12/11/2013,3,M,17,Ford,CF71 7BE,1866.36,26,7,,0,,0,,2,0.08,99.15
XQ22667436,12/13/2013,2,F,19,Audi,EH54 8NS,1233.77,309,64,,0,,0,,34,0.11,97.14
XQ22667437,12/13/2013,2,M,20,BMW,B92 7RF,1920.49,4,3,,0,,0,,2,0.45,78.33
XQ22667439,12/14/2013,2,F,17,Ford,RM8 3JL,2462.77,19,2,,0,,0,,1,0.05,100.00
XQ22667441,12/13/2013,2,F,17,Audi,NG16 1LF,1487.03,276,60,,0,,0,,57,0.21,94.25
XQ22667442,12/13/2013,2,M,17,BMW,NE47 0LG,1436.78,58,6,,0,,0,,16,0.28,86.78
XQ22667444,12/14/2013,2,F,17,Vauxhall,CH63 1JN,1425.89,70,6,,0,,0,,14,0.20,90.51
XQ22667445,12/18/2013,2,F,17,Audi,CV11 5TW,2130.95,32,10,,0,,0,,6,0.19,93.21
XQ22667446,12/16/2013,2,M,18,Renault,WD7 8AD,2075.74,169,27,,0,,0,,11,0.07,98.26
XQ22667447,12/17/2013,2,M,17,Renault,SA32 7LG,1476.56,69,10,,0,,0,,15,0.22,92.68
XQ22667448,12/21/2013,2,F,17,Renault,SK13 2EY,1847.99,169,35,,0,,0,,8,0.05,98.48
XQ22667451,12/18/2013,2,F,18,Ford,BL6 4HZ,1652.25,64,17,,0,,0,,11,0.17,96.99
XQ22667458,12/20/2013,2,M,18,Renault,TW1 1PZ,1775.13,42,12,,0,,0,,2,0.05,99.10
XQ22667459,12/23/2013,2,M,18,VW,RM11 3AJ,1760.30,408,84,,0,,0,,72,0.18,95.40
XQ22667465,12/23/2013,2,F,17,Ford,PR2 9FJ,1511.99,88,22,,0,,0,,11,0.12,97.19
XQ22667475,12/27/2013,2,F,17,Ford,SK8 4AN,1915.84,1,2,,0,,0,,0,0.00,100.00
XQ22667477,12/28/2013,2,M,17,VW,CF72 9HP,2278.86,399,36,,0,,0,,42,0.11,93.53
